Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 3, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 4, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 4, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 4, Buses: 0, Bicycles: 0
Cars: 0, Vans: 0, Motors: 4, Buses: 0, Bicycles: 0
